/* DATA DESCRIPTION:
Citation:	Wetterich, Sebastian; Schirrmeister, Lutz (2017): Sediment data from the pingo exposure AWI_12P-1908-A. PANGAEA, https://doi.org/10.1594/PANGAEA.884357, 
	In supplement to: Wetterich, Sebastian; Schirrmeister, Lutz; Nazarova, Larisa B; Palagushkina, Olga V; Bobrov, Anatoly A; Pogosyan, Lilith; Savelieva, Larissa A; Syrykh, Ludmila S; Matthes, Heidrun; Fritz, Michael; Günther, Frank; Opel, Thomas; Meyer, Hanno (2018): Holocene thermokarst and pingo development in the Kolyma Lowland (NE Siberia). Permafrost and Periglacial Processes, 29(3), 182-198, https://doi.org/10.1002/ppp.1979
Project(s):	Permafrost Research (Periglacial Dynamics) @ AWI (AWI_PerDyn) (URI: http://www.awi.de/en/science/geosciences/periglacial-research.html)
Coverage:	LATITUDE: 69.038360 * LONGITUDE: 161.006420
	MINIMUM HEIGHT above ground: 1.70 m * MAXIMUM HEIGHT above ground: 6.90 m
Event(s):	AWI_12P-1908-A * LATITUDE: 69.038360 * LONGITUDE: 161.006420 * LOCATION: East Siberia * CAMPAIGN: RU-Land_2012_Kytalyk_Kolyma (Kytalyk-Pokhodsk_2012, Kolyma2012) (URI: https://doi.org/10.2312/BzPM_0697_2016) * BASIS: AWI Arctic Land Expedition * METHOD/DEVICE: Sampling/measurement on land (LAND)
Comment:	Three profiles (12P-1908-A, 12P-2008-A, 12P-2208-A) of exposed deposits were sampled in course of the expedition Pokhodsk 2012 in the Kolyma Lowland, which contained frozen sediments. The samples were afterward analysed for granulometry, magnetic susceptibility, organic matter composition (TOC, TC, TIC, TN, TOC/TN, d13C), and radiocarbon dated.
Parameter(s):	Sample code/label (Sample label) * PI: Wetterich, Sebastian (https://orcid.org/0000-0001-9234-1192, Sebastian.Wetterich@awi.de, http://www.awi.de/en/about-us/organisation/staff/sebastian-wetterich.html)
	HEIGHT above ground [m] (Height) * GEOCODE * PI: Wetterich, Sebastian (https://orcid.org/0000-0001-9234-1192, Sebastian.Wetterich@awi.de, http://www.awi.de/en/about-us/organisation/staff/sebastian-wetterich.html) * COMMENT: m.l.l.
	Distance, relative [m] (Dist rel) * PI: Wetterich, Sebastian (https://orcid.org/0000-0001-9234-1192, Sebastian.Wetterich@awi.de, http://www.awi.de/en/about-us/organisation/staff/sebastian-wetterich.html)
	Sample material (Sample material) * PI: Wetterich, Sebastian (https://orcid.org/0000-0001-9234-1192, Sebastian.Wetterich@awi.de, http://www.awi.de/en/about-us/organisation/staff/sebastian-wetterich.html)
	Age, dated [ka] (Age dated) * PI: Wetterich, Sebastian (https://orcid.org/0000-0001-9234-1192, Sebastian.Wetterich@awi.de, http://www.awi.de/en/about-us/organisation/staff/sebastian-wetterich.html)
	Age, dated standard deviation [±] (Age dated std dev) * PI: Wetterich, Sebastian (https://orcid.org/0000-0001-9234-1192, Sebastian.Wetterich@awi.de, http://www.awi.de/en/about-us/organisation/staff/sebastian-wetterich.html)
	Laboratory code/label (Lab label) * PI: Wetterich, Sebastian (https://orcid.org/0000-0001-9234-1192, Sebastian.Wetterich@awi.de, http://www.awi.de/en/about-us/organisation/staff/sebastian-wetterich.html)
	Ice content [%] (Ice) * PI: Wetterich, Sebastian (https://orcid.org/0000-0001-9234-1192, Sebastian.Wetterich@awi.de, http://www.awi.de/en/about-us/organisation/staff/sebastian-wetterich.html) * COMMENT: absolute wt. %
	Susceptibility [sensor values] (Suscept) * PI: Wetterich, Sebastian (https://orcid.org/0000-0001-9234-1192, Sebastian.Wetterich@awi.de, http://www.awi.de/en/about-us/organisation/staff/sebastian-wetterich.html) * COMMENT: HF SI
	Carbon, organic, total [%] (TOC) * PI: Wetterich, Sebastian (https://orcid.org/0000-0001-9234-1192, Sebastian.Wetterich@awi.de, http://www.awi.de/en/about-us/organisation/staff/sebastian-wetterich.html) * COMMENT: wt. %
	Carbon, total [%] (TC) * PI: Wetterich, Sebastian (https://orcid.org/0000-0001-9234-1192, Sebastian.Wetterich@awi.de, http://www.awi.de/en/about-us/organisation/staff/sebastian-wetterich.html) * COMMENT: wt. %
	Carbon, inorganic, total [%] (TIC) * PI: Wetterich, Sebastian (https://orcid.org/0000-0001-9234-1192, Sebastian.Wetterich@awi.de, http://www.awi.de/en/about-us/organisation/staff/sebastian-wetterich.html) * COMMENT: wt. %
